VERSION	2021-2098
DATE	2021-07-13, 23:42:30 (+0800)
ANTENNA 1	NAME	TX
ANTENNA 1	LOCATION	3.500 7.000 1.250
ANTENNA 1	FREQUENCY	2000.000
ANTENNA 1	POWER	40.000 dBm Output
ANTENNA 1	ANTENNATYPE	ISO
LOWER_LEFT	-2.00000000 -2.00000000
UPPER_RIGHT	9.00000000 9.00000000
HEIGHT	1.250	1.250	1.250	1.250	1.250	1.250	1.250	1.250	1.250	1.250	1.250
TIME_STEP	0.000	0.500	1.000	1.500	2.000	2.500	3.000	3.500	4.000	4.500	5.000
RESOLUTION	0.25000000

BEGIN_DATA
-1.87500 -1.87500 1.25000 -31.4389
-1.87500 -1.87500 1.25000 -32.1471
-1.87500 -1.87500 1.25000 -31.9949
-1.87500 -1.87500 1.25000 -31.9229
-1.87500 -1.87500 1.25000 -32.2987
-1.87500 -1.87500 1.25000 -32.4592
-1.87500 -1.87500 1.25000 -32.4631
-1.87500 -1.87500 1.25000 -32.3048
-1.87500 -1.87500 1.25000 -31.6057
-1.87500 -1.87500 1.25000 -32.3186
-1.87500 -1.87500 1.25000 -36.0246
-1.87500 -1.62500 1.25000 -31.6229
-1.87500 -1.62500 1.25000 -32.0547
-1.87500 -1.62500 1.25000 -31.9443
-1.87500 -1.62500 1.25000 -31.8044
-1.87500 -1.62500 1.25000 -32.2566
-1.87500 -1.62500 1.25000 -32.3420
-1.87500 -1.62500 1.25000 -32.3472
-1.87500 -1.62500 1.25000 -32.0837
-1.87500 -1.62500 1.25000 -31.6444
-1.87500 -1.62500 1.25000 -32.2375
-1.87500 -1.62500 1.25000 -35.6533
-1.87500 -1.37500 1.25000 -31.8647
-1.87500 -1.37500 1.25000 -31.9986
-1.87500 -1.37500 1.25000 -31.8237
-1.87500 -1.37500 1.25000 -31.7181
-1.87500 -1.37500 1.25000 -32.3108
-1.87500 -1.37500 1.25000 -32.2723
-1.87500 -1.37500 1.25000 -32.2537
-1.87500 -1.37500 1.25000 -31.9029
-1.87500 -1.37500 1.25000 -31.8382
-1.87500 -1.37500 1.25000 -32.2113
-1.87500 -1.37500 1.25000 -34.9236
-1.87500 -1.12500 1.25000 -31.8127
-1.87500 -1.12500 1.25000 -31.6769
-1.87500 -1.12500 1.25000 -31.5441
-1.87500 -1.12500 1.25000 -31.4601
-1.87500 -1.12500 1.25000 -31.9933
-1.87500 -1.12500 1.25000 -31.9674
-1.87500 -1.12500 1.25000 -31.9317
-1.87500 -1.12500 1.25000 -31.5021
-1.87500 -1.12500 1.25000 -31.8014
-1.87500 -1.12500 1.25000 -31.9475
-1.87500 -1.12500 1.25000 -34.3480
-1.87500 -0.87500 1.25000 -31.4585
-1.87500 -0.87500 1.25000 -31.2962
-1.87500 -0.87500 1.25000 -31.2394
-1.87500 -0.87500 1.25000 -31.2320
-1.87500 -0.87500 1.25000 -31.6962
-1.87500 -0.87500 1.25000 -31.6817
-1.87500 -0.87500 1.25000 -31.6266
-1.87500 -0.87500 1.25000 -31.3590
-1.87500 -0.87500 1.25000 -31.6314
-1.87500 -0.87500 1.25000 -31.6660
-1.87500 -0.87500 1.25000 -33.6561
-1.87500 -0.62500 1.25000 -30.7803
-1.87500 -0.62500 1.25000 -30.6431
-1.87500 -0.62500 1.25000 -30.7583
-1.87500 -0.62500 1.25000 -30.7367
-1.87500 -0.62500 1.25000 -31.1850
-1.87500 -0.62500 1.25000 -31.0888
-1.87500 -0.62500 1.25000 -31.0404
-1.87500 -0.62500 1.25000 -30.9137
-1.87500 -0.62500 1.25000 -31.0467
-1.87500 -0.62500 1.25000 -31.0686
-1.87500 -0.62500 1.25000 -32.5236
-1.87500 -0.37500 1.25000 -30.0615
-1.87500 -0.37500 1.25000 -29.9877
-1.87500 -0.37500 1.25000 -30.1258
-1.87500 -0.37500 1.25000 -30.2339
-1.87500 -0.37500 1.25000 -30.5609
-1.87500 -0.37500 1.25000 -30.4071
-1.87500 -0.37500 1.25000 -30.3691
-1.87500 -0.37500 1.25000 -30.3730
-1.87500 -0.37500 1.25000 -30.3730
-1.87500 -0.37500 1.25000 -30.3854
-1.87500 -0.37500 1.25000 -31.3364
-1.87500 -0.12500 1.25000 -28.4475
-1.87500 -0.12500 1.25000 -28.4412
-1.87500 -0.12500 1.25000 -28.5001
-1.87500 -0.12500 1.25000 -28.7183
-1.87500 -0.12500 1.25000 -28.9123
-1.87500 -0.12500 1.25000 -28.7384
-1.87500 -0.12500 1.25000 -28.7173
-1.87500 -0.12500 1.25000 -28.7173
-1.87500 -0.12500 1.25000 -28.7173
-1.87500 -0.12500 1.25000 -28.7264
-1.87500 -0.12500 1.25000 -29.2260
-1.87500 0.12500 1.25000 -26.9366
-1.87500 0.12500 1.25000 -26.9349
-1.87500 0.12500 1.25000 -26.9400
-1.87500 0.12500 1.25000 -27.2542
-1.87500 0.12500 1.25000 -27.2531
-1.87500 0.12500 1.25000 -27.1352
-1.87500 0.12500 1.25000 -27.1286
-1.87500 0.12500 1.25000 -27.1286
-1.87500 0.12500 1.25000 -27.1286
-1.87500 0.12500 1.25000 -27.1362
-1.87500 0.12500 1.25000 -27.4662
-1.87500 0.37500 1.25000 -25.0476
-1.87500 0.37500 1.25000 -25.0499
-1.87500 0.37500 1.25000 -25.0227
-1.87500 0.37500 1.25000 -25.2456
-1.87500 0.37500 1.25000 -25.2452
-1.87500 0.37500 1.25000 -25.1715
-1.87500 0.37500 1.25000 -25.1718
-1.87500 0.37500 1.25000 -25.1713
-1.87500 0.37500 1.25000 -25.1718
-1.87500 0.37500 1.25000 -25.1791
-1.87500 0.37500 1.25000 -25.3740
-1.87500 0.62500 1.25000 -24.8745
-1.87500 0.62500 1.25000 -24.8768
-1.87500 0.62500 1.25000 -24.8586
-1.87500 0.62500 1.25000 -25.0429
-1.87500 0.62500 1.25000 -25.0427
-1.87500 0.62500 1.25000 -24.9981
-1.87500 0.62500 1.25000 -24.9980
-1.87500 0.62500 1.25000 -24.9968
-1.87500 0.62500 1.25000 -25.0000
-1.87500 0.62500 1.25000 -25.0088
-1.87500 0.62500 1.25000 -25.1680
-1.87500 0.87500 1.25000 -25.9005
-1.87500 0.87500 1.25000 -25.8906
-1.87500 0.87500 1.25000 -25.8902
-1.87500 0.87500 1.25000 -26.0921
-1.87500 0.87500 1.25000 -26.0906
-1.87500 0.87500 1.25000 -26.0727
-1.87500 0.87500 1.25000 -26.0715
-1.87500 0.87500 1.25000 -26.0736
